Delivery_ID,Payment_ID,Order_ID,Delivery_Method,Delivery_Status,Delivery_Days,Payment_Method,Payment_Status,Customer_Rating,Review_Score,Return_Flag,Return_Reason
D00062,PAY00062,O00062,Same Day,In Transit,4,Mada,Refunded,4,5,Yes,Damaged
D00063,PAY00063,O00063,Same Day,Returned,6,Debit Card,Paid,2,8,No,Damaged
D00064,PAY00064,O00064,Standard,Returned,7,STC Pay,Pending,2,6,Yes,Wrong Item
D00065,PAY00065,O00065,Express,Returned,5,Apple Pay,Refunded,5,3,No,N/A
D00066,PAY00066,O00066,Same Day,Delivered,1,Credit Card,Refunded,1,3,No,Damaged
D00067,PAY00067,O00067,Standard,Returned,1,Cash On Delivery,Pending,2,6,No,N/A
D00068,PAY00068,O00068,Standard,In Transit,10,Cash On Delivery,Refunded,5,9,No,Late Delivery
D00069,PAY00069,O00069,Express,Delivered,2,STC Pay,Paid,3,10,Yes,Damaged
D00070,PAY00070,O00070,Same Day,Returned,2,Mada,Paid,5,8,No,Damaged
D00071,PAY00071,O00071,Express,Delivered,7,Cash On Delivery,Pending,4,2,No,Damaged
D00072,PAY00072,O00072,Same Day,Delivered,8,Mada,Paid,1,3,No,Late Delivery
D00073,PAY00073,O00073,Standard,Delivered,5,Mada,Paid,2,4,Yes,N/A
D00074,PAY00074,O00074,Standard,Delivered,4,Debit Card,Refunded,3,4,No,Late Delivery
D00075,PAY00075,O00075,Standard,Delivered,3,Debit Card,Pending,2,4,No,N/A
D00076,PAY00076,O00076,Same Day,Delivered,10,Mada,Refunded,1,4,No,Wrong Item
D00077,PAY00077,O00077,Standard,Delivered,4,Debit Card,Pending,3,3,No,Late Delivery
D00078,PAY00078,O00078,Standard,In Transit,8,Cash On Delivery,Refunded,2,7,No,Wrong Item
D00079,PAY00079,O00079,Same Day,In Transit,8,Debit Card,Pending,2,6,Yes,N/A
D00080,PAY00080,O00080,Same Day,Returned,3,STC Pay,Paid,2,3,No,Damaged
D00081,PAY00081,O00081,Standard,In Transit,2,Apple Pay,Refunded,4,2,Yes,Late Delivery
D00082,PAY00082,O00082,Same Day,Returned,8,Cash On Delivery,Pending,3,1,Yes,Wrong Item
D00083,PAY00083,O00083,Express,Delivered,7,Apple Pay,Refunded,3,2,No,Wrong Item
D00084,PAY00084,O00084,Same Day,Delivered,1,Mada,Refunded,5,9,Yes,Wrong Item
D00085,PAY00085,O00085,Same Day,In Transit,3,Credit Card,Pending,1,2,Yes,Late Delivery
D00086,PAY00086,O00086,Same Day,In Transit,8,Mada,Paid,1,5,No,N/A
D00087,PAY00087,O00087,Express,Returned,8,Cash On Delivery,Refunded,1,5,No,Late Delivery
D00088,PAY00088,O00088,Same Day,Delivered,5,Mada,Refunded,4,4,Yes,Damaged
D00089,PAY00089,O00089,Express,Returned,8,Mada,Paid,3,4,No,Damaged
D00090,PAY00090,O00090,Same Day,In Transit,1,Debit Card,Pending,5,5,No,Late Delivery
D00091,PAY00091,O00091,Express,In Transit,5,Mada,Refunded,5,7,Yes,Wrong Item
D00092,PAY00092,O00092,Express,Returned,2,STC Pay,Paid,3,7,Yes,Late Delivery
D00093,PAY00093,O00093,Same Day,Returned,3,Mada,Pending,4,10,Yes,Late Delivery
D00094,PAY00094,O00094,Same Day,Returned,8,Credit Card,Refunded,4,7,Yes,Damaged
D00095,PAY00095,O00095,Standard,Returned,1,Debit Card,Refunded,4,5,Yes,Late Delivery
D00096,PAY00096,O00096,Same Day,Delivered,1,Credit Card,Refunded,4,10,No,Wrong Item
D00097,PAY00097,O00097,Express,In Transit,6,Mada,Pending,1,9,Yes,Late Delivery
D00098,PAY00098,O00098,Standard,Returned,8,Credit Card,Refunded,3,7,No,Damaged
D00099,PAY00099,O00099,Same Day,Returned,7,STC Pay,Refunded,4,10,Yes,Late Delivery
D00100,PAY00100,O00100,Standard,In Transit,9,Mada,Paid,2,5,No,Late Delivery
D00101,PAY00101,O00101,Express,Returned,2,Cash On Delivery,Pending,2,7,Yes,Wrong Item
D00102,PAY00102,O00102,Standard,Returned,3,Apple Pay,Refunded,2,5,Yes,Late Delivery
D00103,PAY00103,O00103,Express,Delivered,10,Mada,Refunded,5,10,No,Wrong Item
D00104,PAY00104,O00104,Same Day,In Transit,10,Credit Card,Paid,3,9,Yes,Late Delivery
D00105,PAY00105,O00105,Express,In Transit,6,Cash On Delivery,Refunded,4,10,No,Damaged
D00106,PAY00106,O00106,Same Day,In Transit,5,STC Pay,Paid,5,2,Yes,N/A
D00107,PAY00107,O00107,Express,Returned,6,STC Pay,Pending,4,7,Yes,Damaged
D00108,PAY00108,O00108,Standard,Returned,1,Mada,Refunded,4,6,Yes,N/A
D00109,PAY00109,O00109,Standard,Returned,3,Mada,Pending,4,10,No,Wrong Item
D00110,PAY00110,O00110,Same Day,Delivered,6,Mada,Refunded,4,1,Yes,N/A
D00111,PAY00111,O00111,Same Day,Delivered,6,Mada,Pending,4,2,Yes,N/A
D00112,PAY00112,O00112,Express,Returned,3,Mada,Pending,3,8,No,Late Delivery
D00113,PAY00113,O00113,Express,In Transit,10,STC Pay,Paid,2,2,Yes,N/A
D00114,PAY00114,O00114,Standard,Delivered,5,Mada,Pending,2,5,Yes,Late Delivery
D00115,PAY00115,O00115,Express,Delivered,10,Debit Card,Pending,1,5,Yes,N/A
D00116,PAY00116,O00116,Same Day,In Transit,5,STC Pay,Refunded,3,3,No,Late Delivery
D00117,PAY00117,O00117,Same Day,In Transit,4,Credit Card,Paid,3,1,No,Damaged
D00118,PAY00118,O00118,Standard,Delivered,7,Mada,Pending,4,1,Yes,Late Delivery
D00119,PAY00119,O00119,Standard,Returned,6,Debit Card,Pending,2,10,No,Wrong Item
D00120,PAY00120,O00120,Standard,In Transit,1,Credit Card,Paid,3,4,No,Damaged
D00121,PAY00121,O00121,Express,Delivered,1,Cash On Delivery,Refunded,4,2,No,N/A
D00122,PAY00122,O00122,Same Day,Delivered,4,STC Pay,Paid,5,4,Yes,Wrong Item
D00123,PAY00123,O00123,Express,Delivered,9,Mada,Pending,2,7,No,Wrong Item
D00124,PAY00124,O00124,Standard,In Transit,1,Mada,Paid,3,5,No,Damaged
D00125,PAY00125,O00125,Same Day,In Transit,1,Apple Pay,Refunded,4,5,Yes,Wrong Item
D00126,PAY00126,O00126,Standard,Delivered,9,Cash On Delivery,Refunded,5,4,No,Late Delivery
D00127,PAY00127,O00127,Standard,Returned,6,STC Pay,Pending,1,4,Yes,Damaged
D00128,PAY00128,O00128,Same Day,Delivered,10,Apple Pay,Paid,1,5,Yes,N/A
D00129,PAY00129,O00129,Express,Delivered,7,Debit Card,Pending,2,7,Yes,Damaged
D00130,PAY00130,O00130,Same Day,Delivered,9,Cash On Delivery,Refunded,3,3,No,Wrong Item
D00131,PAY00131,O00131,Standard,Delivered,2,Debit Card,Refunded,3,10,Yes,Late Delivery
D00132,PAY00132,O00132,Standard,Returned,4,Debit Card,Paid,5,4,Yes,Late Delivery
D00133,PAY00133,O00133,Same Day,In Transit,3,Debit Card,Refunded,3,5,No,Wrong Item
D00134,PAY00134,O00134,Express,Returned,6,Mada,Pending,3,7,No,Wrong Item
D00135,PAY00135,O00135,Express,In Transit,6,Credit Card,Refunded,1,2,No,Wrong Item
D00136,PAY00136,O00136,Standard,In Transit,10,Cash On Delivery,Paid,4,2,Yes,Damaged
D00137,PAY00137,O00137,Express,In Transit,2,Apple Pay,Pending,4,8,Yes,N/A
D00138,PAY00138,O00138,Same Day,Delivered,2,Apple Pay,Refunded,4,7,No,Wrong Item
D00139,PAY00139,O00139,Same Day,Returned,7,STC Pay,Paid,3,1,Yes,Late Delivery
D00140,PAY00140,O00140,Express,Returned,7,Debit Card,Refunded,4,7,No,Damaged
D00141,PAY00141,O00141,Express,In Transit,6,STC Pay,Paid,4,9,No,Wrong Item
D00142,PAY00142,O00142,Same Day,In Transit,1,Credit Card,Paid,2,6,No,Wrong Item
D00143,PAY00143,O00143,Same Day,In Transit,6,Debit Card,Pending,1,4,Yes,Late Delivery
D00144,PAY00144,O00144,Standard,Delivered,4,Debit Card,Paid,3,9,No,Late Delivery
D00145,PAY00145,O00145,Express,Delivered,4,STC Pay,Paid,5,3,No,Damaged
D00146,PAY00146,O00146,Same Day,Delivered,10,STC Pay,Refunded,3,4,Yes,N/A
D00147,PAY00147,O00147,Express,Returned,3,Apple Pay,Pending,3,10,No,N/A
D00148,PAY00148,O00148,Same Day,Delivered,1,Debit Card,Pending,5,9,No,Wrong Item
D00149,PAY00149,O00149,Express,Returned,9,STC Pay,Paid,1,6,No,Late Delivery
D00150,PAY00150,O00150,Standard,Returned,6,Credit Card,Refunded,5,9,No,Damaged
D00151,PAY00151,O00151,Same Day,Delivered,2,Cash On Delivery,Refunded,5,6,Yes,N/A
D00152,PAY00152,O00152,Express,Delivered,6,Apple Pay,Refunded,5,6,Yes,Late Delivery
D00153,PAY00153,O00153,Express,Returned,5,Apple Pay,Refunded,1,1,No,Late Delivery
D00154,PAY00154,O00154,Express,In Transit,6,Cash On Delivery,Pending,3,7,No,Wrong Item
D00155,PAY00155,O00155,Express,Delivered,6,Apple Pay,Pending,3,2,Yes,Damaged
D00156,PAY00156,O00156,Same Day,Delivered,3,Cash On Delivery,Paid,5,7,No,Wrong Item
D00157,PAY00157,O00157,Express,Returned,3,STC Pay,Pending,5,6,No,Late Delivery
D00158,PAY00158,O00158,Express,Returned,5,Debit Card,Refunded,2,9,No,Late Delivery
D00159,PAY00159,O00159,Standard,In Transit,2,Debit Card,Paid,1,9,Yes,Late Delivery
D00160,PAY00160,O00160,Express,In Transit,10,Apple Pay,Pending,5,3,No,Damaged
D00161,PAY00161,O00161,Same Day,Delivered,1,Apple Pay,Pending,5,7,Yes,Late Delivery
D00162,PAY00162,O00162,Same Day,In Transit,9,Credit Card,Paid,1,3,No,Wrong Item
D00163,PAY00163,O00163,Standard,In Transit,6,Apple Pay,Paid,3,5,Yes,N/A
D00164,PAY00164,O00164,Standard,Returned,1,Debit Card,Refunded,5,7,Yes,Late Delivery
D00165,PAY00165,O00165,Same Day,In Transit,10,Credit Card,Pending,5,10,Yes,Wrong Item
D00166,PAY00166,O00166,Same Day,Delivered,5,Credit Card,Paid,1,2,No,Late Delivery
D00167,PAY00167,O00167,Standard,Delivered,1,Debit Card,Pending,1,10,Yes,Wrong Item
D00168,PAY00168,O00168,Same Day,Delivered,9,Debit Card,Paid,3,6,No,N/A
D00169,PAY00169,O00169,Same Day,Delivered,4,Mada,Paid,2,5,No,Wrong Item
D00170,PAY00170,O00170,Express,In Transit,2,STC Pay,Pending,3,8,No,Damaged
D00171,PAY00171,O00171,Express,In Transit,3,Debit Card,Paid,3,3,Yes,Wrong Item
D00172,PAY00172,O00172,Standard,Returned,6,Cash On Delivery,Pending,5,6,Yes,Damaged
D00173,PAY00173,O00173,Express,Returned,2,Apple Pay,Paid,1,5,No,Late Delivery
D00174,PAY00174,O00174,Standard,Returned,5,Mada,Pending,3,3,No,Late Delivery
D00175,PAY00175,O00175,Express,Delivered,1,Cash On Delivery,Refunded,5,10,Yes,Damaged
D00176,PAY00176,O00176,Same Day,Delivered,5,Debit Card,Refunded,2,7,Yes,N/A
D00177,PAY00177,O00177,Standard,In Transit,8,Mada,Pending,1,3,No,Damaged
D00178,PAY00178,O00178,Same Day,In Transit,5,Apple Pay,Paid,5,9,Yes,Wrong Item
D00179,PAY00179,O00179,Express,Returned,3,Mada,Refunded,5,10,No,Late Delivery
D00180,PAY00180,O00180,Same Day,Delivered,1,Credit Card,Paid,2,9,No,Late Delivery
D00181,PAY00181,O00181,Standard,Delivered,4,Mada,Paid,5,5,Yes,Late Delivery
D00182,PAY00182,O00182,Same Day,Returned,6,Mada,Paid,2,9,Yes,Wrong Item
D00183,PAY00183,O00183,Express,In Transit,1,Mada,Pending,1,8,Yes,N/A
D00184,PAY00184,O00184,Same Day,In Transit,6,Credit Card,Refunded,4,7,Yes,Late Delivery
D00185,PAY00185,O00185,Standard,In Transit,5,Debit Card,Refunded,4,6,Yes,Damaged
D00186,PAY00186,O00186,Same Day,In Transit,9,Debit Card,Refunded,4,7,No,Damaged
D00187,PAY00187,O00187,Same Day,Delivered,7,Debit Card,Refunded,5,8,Yes,N/A
D00188,PAY00188,O00188,Same Day,Delivered,9,STC Pay,Paid,2,3,No,N/A
D00189,PAY00189,O00189,Express,In Transit,8,Credit Card,Refunded,3,4,No,N/A
D00190,PAY00190,O00190,Same Day,In Transit,3,Credit Card,Pending,4,10,No,Wrong Item
D00191,PAY00191,O00191,Standard,Returned,9,Credit Card,Refunded,5,9,No,Late Delivery
D00192,PAY00192,O00192,Same Day,Delivered,8,Apple Pay,Refunded,4,6,No,N/A
D00193,PAY00193,O00193,Standard,Returned,4,Apple Pay,Paid,2,3,Yes,Damaged
D00194,PAY00194,O00194,Express,In Transit,2,Debit Card,Paid,1,4,Yes,Damaged
D00195,PAY00195,O00195,Same Day,Delivered,2,Debit Card,Paid,2,4,Yes,N/A
D00196,PAY00196,O00196,Same Day,Delivered,4,Apple Pay,Paid,1,5,Yes,Damaged
D00197,PAY00197,O00197,Same Day,Delivered,3,Credit Card,Paid,5,5,No,Wrong Item
D00198,PAY00198,O00198,Same Day,Returned,10,Mada,Pending,1,10,No,Wrong Item
D00199,PAY00199,O00199,Standard,Delivered,8,Apple Pay,Paid,5,10,Yes,Wrong Item
D00200,PAY00200,O00200,Standard,Delivered,4,STC Pay,Refunded,2,3,No,Late Delivery
D00201,PAY00201,O00201,Standard,Returned,5,Mada,Pending,3,1,Yes,Late Delivery
D00202,PAY00202,O00202,Standard,Returned,3,Debit Card,Pending,3,1,No,Late Delivery
D00203,PAY00203,O00203,Express,Delivered,10,STC Pay,Refunded,5,7,Yes,N/A
D00204,PAY00204,O00204,Express,Returned,3,Credit Card,Refunded,5,1,Yes,N/A
D00205,PAY00205,O00205,Same Day,Returned,2,STC Pay,Refunded,4,4,No,Damaged
D00206,PAY00206,O00206,Same Day,Delivered,2,Debit Card,Pending,1,9,Yes,Wrong Item
D00207,PAY00207,O00207,Express,Delivered,4,Cash On Delivery,Paid,2,2,Yes,N/A
D00208,PAY00208,O00208,Same Day,Delivered,8,Apple Pay,Paid,4,4,No,N/A
D00209,PAY00209,O00209,Express,In Transit,1,Credit Card,Paid,5,7,No,Late Delivery
D00210,PAY00210,O00210,Standard,Returned,1,Mada,Paid,5,8,No,N/A
D00211,PAY00211,O00211,Express,In Transit,4,Debit Card,Refunded,4,2,No,Late Delivery
D00212,PAY00212,O00212,Same Day,In Transit,1,Credit Card,Pending,2,10,No,N/A
D00213,PAY00213,O00213,Same Day,Delivered,7,Cash On Delivery,Paid,5,1,No,Damaged
D00214,PAY00214,O00214,Same Day,Returned,8,Cash On Delivery,Refunded,3,7,Yes,Late Delivery
D00215,PAY00215,O00215,Express,In Transit,9,STC Pay,Refunded,2,9,Yes,Late Delivery
D00216,PAY00216,O00216,Standard,Returned,3,Credit Card,Refunded,4,1,No,N/A
D00217,PAY00217,O00217,Standard,Delivered,4,Debit Card,Pending,2,1,No,Late Delivery
D00218,PAY00218,O00218,Express,Delivered,6,Debit Card,Refunded,1,8,Yes,Damaged
D00219,PAY00219,O00219,Standard,Returned,3,Apple Pay,Paid,3,2,No,Late Delivery
D00220,PAY00220,O00220,Same Day,Delivered,3,Debit Card,Refunded,1,2,Yes,Damaged
D00221,PAY00221,O00221,Standard,Delivered,6,Debit Card,Paid,5,6,No,N/A
D00222,PAY00222,O00222,Express,Returned,6,Mada,Refunded,4,1,No,Late Delivery
D00223,PAY00223,O00223,Same Day,Returned,6,Debit Card,Refunded,4,5,Yes,N/A
D00224,PAY00224,O00224,Same Day,Delivered,4,Apple Pay,Refunded,3,7,Yes,Wrong Item
D00225,PAY00225,O00225,Same Day,Returned,5,Cash On Delivery,Refunded,4,5,Yes,N/A
D00226,PAY00226,O00226,Standard,Delivered,1,Credit Card,Paid,4,2,Yes,Damaged
D00227,PAY00227,O00227,Same Day,Delivered,4,Debit Card,Paid,4,10,No,Damaged
D00228,PAY00228,O00228,Same Day,Returned,3,Credit Card,Paid,2,2,No,Late Delivery
D00229,PAY00229,O00229,Express,Delivered,10,Credit Card,Refunded,4,7,Yes,Damaged
D00230,PAY00230,O00230,Same Day,Delivered,10,Debit Card,Refunded,5,2,Yes,Damaged
D00231,PAY00231,O00231,Express,Returned,8,Credit Card,Refunded,4,4,No,Wrong Item
D00232,PAY00232,O00232,Express,Delivered,10,Cash On Delivery,Paid,3,7,Yes,Late Delivery
D00233,PAY00233,O00233,Standard,In Transit,4,Debit Card,Paid,2,5,No,N/A
D00234,PAY00234,O00234,Express,Returned,2,STC Pay,Refunded,3,2,No,Wrong Item
D00235,PAY00235,O00235,Express,Returned,3,Cash On Delivery,Pending,5,10,No,N/A
D00236,PAY00236,O00236,Express,Returned,2,Credit Card,Paid,2,2,No,Wrong Item
D00237,PAY00237,O00237,Same Day,Delivered,5,Credit Card,Refunded,3,9,Yes,Late Delivery
D00238,PAY00238,O00238,Same Day,Returned,2,Cash On Delivery,Refunded,2,6,Yes,Late Delivery
D00239,PAY00239,O00239,Express,Returned,1,Apple Pay,Refunded,2,8,Yes,Damaged
D00240,PAY00240,O00240,Express,In Transit,8,Debit Card,Pending,3,3,No,Damaged
D00241,PAY00241,O00241,Same Day,In Transit,7,STC Pay,Paid,4,4,No,N/A
D00242,PAY00242,O00242,Standard,In Transit,1,Debit Card,Refunded,2,1,No,Wrong Item
D00243,PAY00243,O00243,Standard,In Transit,5,Debit Card,Paid,3,7,Yes,Wrong Item
D00244,PAY00244,O00244,Standard,In Transit,3,Apple Pay,Refunded,4,6,No,Wrong Item
D00245,PAY00245,O00245,Express,Returned,6,Apple Pay,Refunded,1,6,No,Wrong Item
D00246,PAY00246,O00246,Standard,Delivered,1,Debit Card,Paid,3,7,Yes,Wrong Item
D00247,PAY00247,O00247,Standard,In Transit,3,Apple Pay,Refunded,2,1,No,Wrong Item
D00248,PAY00248,O00248,Express,Returned,2,Credit Card,Paid,5,10,Yes,Wrong Item
D00249,PAY00249,O00249,Express,In Transit,9,Apple Pay,Refunded,4,2,No,Wrong Item
D00250,PAY00250,O00250,Express,Returned,9,Apple Pay,Pending,1,10,No,Wrong Item
D00251,PAY00251,O00251,Express,Delivered,2,Debit Card,Pending,2,6,Yes,Wrong Item
D00252,PAY00252,O00252,Standard,In Transit,9,Apple Pay,Refunded,4,3,Yes,Late Delivery
D00253,PAY00253,O00253,Standard,Delivered,5,Credit Card,Paid,5,10,No,Damaged
D00254,PAY00254,O00254,Standard,In Transit,5,Debit Card,Refunded,1,6,No,Late Delivery
D00255,PAY00255,O00255,Same Day,Returned,9,Apple Pay,Refunded,5,2,No,Wrong Item
D00256,PAY00256,O00256,Express,Delivered,5,Apple Pay,Paid,2,9,Yes,Wrong Item
D00257,PAY00257,O00257,Express,Delivered,7,STC Pay,Pending,3,6,No,Damaged
D00258,PAY00258,O00258,Same Day,In Transit,8,Cash On Delivery,Paid,4,6,Yes,N/A
D00259,PAY00259,O00259,Same Day,Delivered,5,Cash On Delivery,Refunded,4,4,No,N/A
D00260,PAY00260,O00260,Same Day,Delivered,1,Apple Pay,Pending,2,6,No,Damaged
D00261,PAY00261,O00261,Same Day,In Transit,10,Debit Card,Paid,2,3,No,Late Delivery
D00262,PAY00262,O00262,Express,Delivered,5,Debit Card,Paid,4,4,Yes,N/A
D00263,PAY00263,O00263,Express,Delivered,8,Credit Card,Refunded,4,1,Yes,N/A
D00264,PAY00264,O00264,Standard,In Transit,1,Apple Pay,Refunded,4,7,No,Late Delivery
D00265,PAY00265,O00265,Same Day,Delivered,3,Cash On Delivery,Paid,4,1,Yes,Wrong Item
D00266,PAY00266,O00266,Express,Returned,2,STC Pay,Pending,4,6,Yes,Damaged
D00267,PAY00267,O00267,Standard,In Transit,3,Credit Card,Paid,2,2,No,Late Delivery
D00268,PAY00268,O00268,Same Day,Delivered,8,Cash On Delivery,Paid,3,10,No,Damaged
D00269,PAY00269,O00269,Same Day,In Transit,3,Debit Card,Refunded,4,1,No,N/A
D00270,PAY00270,O00270,Standard,Returned,7,Debit Card,Paid,2,9,Yes,Damaged
D00271,PAY00271,O00271,Standard,Delivered,6,Mada,Paid,2,1,Yes,Late Delivery
D00272,PAY00272,O00272,Same Day,Returned,6,STC Pay,Pending,1,10,No,Wrong Item
D00273,PAY00273,O00273,Express,Returned,8,Credit Card,Paid,2,1,No,N/A
D00274,PAY00274,O00274,Express,In Transit,9,STC Pay,Pending,4,4,Yes,N/A
D00275,PAY00275,O00275,Express,Delivered,4,Mada,Refunded,3,7,No,Damaged
D00276,PAY00276,O00276,Same Day,Returned,7,Apple Pay,Pending,2,2,No,Late Delivery
D00277,PAY00277,O00277,Express,Delivered,9,Cash On Delivery,Paid,3,8,Yes,Late Delivery
D00278,PAY00278,O00278,Same Day,Delivered,4,Credit Card,Pending,2,2,No,N/A
D00279,PAY00279,O00279,Standard,Returned,10,STC Pay,Refunded,1,9,No,N/A
D00280,PAY00280,O00280,Express,In Transit,7,Apple Pay,Pending,3,9,Yes,Wrong Item
D00281,PAY00281,O00281,Same Day,Delivered,9,Debit Card,Pending,3,8,Yes,N/A
D00282,PAY00282,O00282,Standard,Delivered,10,Mada,Pending,1,7,Yes,Damaged
D00283,PAY00283,O00283,Same Day,Delivered,4,Cash On Delivery,Pending,5,3,Yes,Damaged
D00284,PAY00284,O00284,Standard,Returned,6,Credit Card,Refunded,4,6,Yes,Wrong Item
D00285,PAY00285,O00285,Standard,Delivered,2,STC Pay,Refunded,3,8,No,Damaged
D00286,PAY00286,O00286,Express,In Transit,8,Debit Card,Refunded,1,7,Yes,Damaged
D00287,PAY00287,O00287,Express,In Transit,6,Mada,Refunded,1,2,No,N/A
