Order_ID,Order_Date,Customer_ID,Product_ID,Employee_ID,Branch_ID,Payment_ID,Delivery_ID,Quantity,Unit_Price,Discount,Sales_Amount,Cost,Profit,Sales_Target,Order_Status
O00103,5/13/2025 0:00,C0831,P268,E132,B07,PAY00103,D00103,4,1484.39,0.2,4750.05,3886.3,863.75,3498,Cancelled
O00104,9/18/2021 0:00,C0234,P112,E029,B03,PAY00104,D00104,4,997.77,0.09,3631.88,2882.55,749.33,1033,Delivered
O00105,4/17/2023 0:00,C0052,P068,E063,B11,PAY00105,D00105,2,223.46,0.11,397.76,258.41,139.35,2612,Pending
O00106,4/24/2020 0:00,C0375,P178,E044,B09,PAY00106,D00106,5,1363.04,0.17,5656.62,3734.72,1921.9,2378,Cancelled
O00107,4/16/2023 0:00,C0268,P180,E049,B09,PAY00107,D00107,4,1365.03,0.01,5405.52,4777.17,628.35,4089,Pending
O00108,6/9/2021 0:00,C0743,P186,E075,B12,PAY00108,D00108,1,923.42,0.08,849.55,605.14,244.41,1145,Delivered
O00109,11/24/2022 0:00,C0500,P171,E063,B07,PAY00109,D00109,4,1140.44,0.01,4516.14,2838.4,1677.74,1397,Delivered
O00110,10/17/2022 0:00,C1126,P240,E139,B12,PAY00110,D00110,4,271.82,0.16,913.32,693.15,220.17,3400,Pending
O00111,3/31/2024 0:00,C1008,P161,E014,B14,PAY00111,D00111,3,665.43,0.1,1796.66,1411.89,384.77,1475,Cancelled
O00112,9/12/2021 0:00,C0596,P145,E092,B05,PAY00112,D00112,4,421.89,0.13,1468.18,1093.67,374.51,2291,Pending
O00113,3/28/2025 0:00,C0801,P172,E027,B15,PAY00113,D00113,2,664.24,0.05,1262.06,794.1,467.96,2219,Pending
O00114,7/28/2020 0:00,C0073,P188,E094,B09,PAY00114,D00114,1,1224.01,0.17,1015.93,618.51,397.42,3107,Pending
O00115,11/7/2023 0:00,C1083,P211,E049,B02,PAY00115,D00115,1,1236.63,0.18,1014.04,665.98,348.06,3859,Pending
O00116,5/7/2024 0:00,C0989,P057,E036,B10,PAY00116,D00116,2,202.52,0.17,336.18,221.27,114.91,2018,Pending
O00117,5/11/2024 0:00,C1095,P082,E108,B11,PAY00117,D00117,1,1118.73,0.19,906.17,585.01,321.16,4095,Delivered
O00118,5/7/2024 0:00,C0270,P018,E007,B02,PAY00118,D00118,3,95.99,0.18,236.14,179.82,56.32,3046,Pending
O00119,9/19/2025 0:00,C0835,P077,E059,B03,PAY00119,D00119,5,69.3,0,346.5,215.16,131.34,2971,Delivered
O00120,7/19/2024 0:00,C0018,P219,E063,B05,PAY00120,D00120,5,1139.41,0.01,5640.08,4773.3,866.78,1708,Delivered
O00121,2/14/2022 0:00,C0812,P105,E146,B01,PAY00121,D00121,1,359.98,0.04,345.58,293.87,51.71,2959,Delivered
O00122,6/10/2024 0:00,C1153,P081,E007,B11,PAY00122,D00122,3,1324.37,0.15,3377.14,2034.9,1342.24,1667,Delivered
O00123,11/28/2022 0:00,C0556,P085,E092,B12,PAY00123,D00123,5,1403.99,0.14,6037.16,3746,2291.16,2386,Cancelled
O00124,11/1/2020 0:00,C0648,P137,E077,B08,PAY00124,D00124,5,194.24,0.09,883.79,776.26,107.53,4908,Delivered
O00125,9/13/2025 0:00,C0925,P080,E116,B01,PAY00125,D00125,2,1206.64,0.13,2099.55,1789.08,310.47,4980,Delivered
O00126,6/29/2020 0:00,C0523,P284,E029,B13,PAY00126,D00126,1,565.34,0.13,491.85,410.88,80.97,1524,Cancelled
O00127,12/23/2024 0:00,C0585,P286,E072,B03,PAY00127,D00127,4,837.82,0.02,3284.25,2935.87,348.38,2210,Pending
O00128,5/29/2024 0:00,C1004,P007,E114,B11,PAY00128,D00128,3,464.83,0.02,1366.6,1147.99,218.61,1133,Cancelled
O00129,6/9/2020 0:00,C0458,P251,E126,B04,PAY00129,D00129,3,61.38,0.09,167.57,127.89,39.68,3123,Delivered
O00130,4/14/2023 0:00,C0170,P197,E123,B09,PAY00130,D00130,4,199.68,0.13,694.89,583.34,111.55,2617,Cancelled
O00131,12/9/2022 0:00,C0302,P017,E085,B01,PAY00131,D00131,5,39.24,0.19,158.92,111.23,47.69,2859,Delivered
O00132,1/13/2021 0:00,C0015,P258,E045,B10,PAY00132,D00132,5,764.4,0.04,3669.12,2776.16,892.96,3396,Cancelled
O00133,2/17/2020 0:00,C1076,P086,E100,B03,PAY00133,D00133,3,817.89,0.12,2159.23,1348.84,810.39,1121,Delivered
O00134,2/9/2022 0:00,C0631,P013,E149,B07,PAY00134,D00134,5,138.45,0.18,567.65,442.83,124.82,999,Cancelled
O00135,7/10/2022 0:00,C0219,P251,E036,B14,PAY00135,D00135,5,1381.78,0,6908.9,4652.46,2256.44,3805,Cancelled
O00136,10/8/2020 0:00,C0124,P286,E046,B13,PAY00136,D00136,2,1311.94,0.02,2571.4,1689.03,882.37,3884,Pending
O00137,8/15/2024 0:00,C0967,P023,E082,B09,PAY00137,D00137,5,715.76,0.04,3435.65,2101.36,1334.29,3503,Cancelled
O00138,6/20/2025 0:00,C0601,P263,E100,B03,PAY00138,D00138,4,233.37,0.13,812.13,503.88,308.25,2243,Pending
O00139,5/12/2023 0:00,C1018,P252,E102,B09,PAY00139,D00139,5,279.63,0.12,1230.37,972.27,258.1,4535,Cancelled
O00140,8/15/2024 0:00,C0945,P249,E024,B11,PAY00140,D00140,3,897,0.14,2314.26,2069.87,244.39,711,Delivered
O00141,6/26/2020 0:00,C0331,P283,E103,B10,PAY00141,D00141,5,23.34,0.02,114.37,96.34,18.03,4152,Cancelled
O00142,6/14/2025 0:00,C0902,P073,E091,B04,PAY00142,D00142,1,452.85,0.04,434.74,336.79,97.95,2758,Pending
O00143,4/22/2020 0:00,C0617,P022,E129,B07,PAY00143,D00143,5,210.05,0.11,934.72,777.26,157.46,3901,Delivered
O00144,1/31/2021 0:00,C0828,P044,E035,B12,PAY00144,D00144,2,487.07,0.15,828.02,661.23,166.79,621,Pending
O00145,8/9/2023 0:00,C0076,P232,E050,B12,PAY00145,D00145,4,310.44,0.08,1142.42,882.73,259.69,1217,Cancelled
O00146,6/25/2021 0:00,C0441,P257,E008,B07,PAY00146,D00146,1,1402.52,0.03,1360.44,1027.82,332.62,3733,Delivered
O00147,6/22/2021 0:00,C0719,P104,E032,B08,PAY00147,D00147,3,687.98,0.13,1795.63,1350.24,445.39,775,Pending
O00148,7/14/2023 0:00,C0231,P223,E009,B06,PAY00148,D00148,5,797.1,0.02,3905.79,2795.46,1110.33,3573,Delivered
O00149,11/15/2021 0:00,C0534,P023,E011,B13,PAY00149,D00149,3,970.79,0.17,2417.27,1930.74,486.53,2315,Pending
O00150,10/11/2024 0:00,C0331,P219,E006,B11,PAY00150,D00150,2,30.98,0,61.96,45.6,16.36,2237,Cancelled
O00151,5/24/2022 0:00,C0015,P218,E074,B03,PAY00151,D00151,5,264.36,0.01,1308.58,867.78,440.8,2878,Cancelled
O00152,12/22/2022 0:00,C0885,P177,E119,B02,PAY00152,D00152,1,1312.53,0.07,1220.65,1005,215.65,943,Cancelled
O00153,1/14/2020 0:00,C0182,P294,E029,B02,PAY00153,D00153,2,817.11,0.16,1372.74,1053.15,319.59,4551,Cancelled
O00154,6/9/2022 0:00,C0578,P276,E104,B03,PAY00154,D00154,1,136.76,0.07,127.19,79.59,47.6,4287,Pending
O00155,3/5/2023 0:00,C0442,P184,E029,B08,PAY00155,D00155,1,1067.61,0.11,950.17,640.19,309.98,1105,Cancelled
O00156,1/23/2022 0:00,C0757,P244,E002,B14,PAY00156,D00156,4,1056.02,0.09,3843.91,3372.43,471.48,1016,Delivered
O00157,5/18/2024 0:00,C0809,P245,E028,B12,PAY00157,D00157,2,1137.86,0.13,1979.88,1619.73,360.15,4499,Delivered
O00158,7/16/2023 0:00,C0496,P111,E096,B12,PAY00158,D00158,1,1199.16,0.13,1043.27,757.75,285.52,1864,Pending
O00159,8/3/2025 0:00,C0147,P281,E094,B08,PAY00159,D00159,2,723.17,0.16,1214.93,1010.31,204.62,542,Delivered
O00160,5/17/2024 0:00,C0687,P162,E038,B07,PAY00160,D00160,5,914.7,0.08,4207.62,2717.39,1490.23,2927,Cancelled
O00161,9/22/2025 0:00,C1088,P153,E129,B01,PAY00161,D00161,4,647.65,0.06,2435.16,2027.94,407.22,3605,Delivered
O00162,4/17/2022 0:00,C0549,P287,E030,B14,PAY00162,D00162,5,1038.17,0,5190.85,3657.77,1533.08,1855,Delivered
O00163,11/9/2020 0:00,C0561,P226,E057,B01,PAY00163,D00163,3,486.52,0.16,1226.03,738.34,487.69,4273,Cancelled
O00164,10/8/2024 0:00,C0014,P072,E118,B04,PAY00164,D00164,5,1464.55,0,7322.75,4911.96,2410.79,3088,Delivered
O00165,8/15/2021 0:00,C0046,P257,E058,B05,PAY00165,D00165,5,1291.24,0.18,5294.08,4654.55,639.53,3097,Cancelled
O00166,10/9/2024 0:00,C0659,P247,E121,B02,PAY00166,D00166,2,561.31,0.14,965.45,782.15,183.3,3530,Cancelled
O00167,3/22/2022 0:00,C0901,P038,E068,B08,PAY00167,D00167,3,1070.63,0.16,2697.99,2049.01,648.98,2131,Pending
O00168,1/1/2023 0:00,C0884,P097,E074,B02,PAY00168,D00168,2,852.14,0.18,1397.51,1092.16,305.35,1883,Delivered
O00169,11/12/2023 0:00,C0435,P071,E015,B15,PAY00169,D00169,5,226.89,0.03,1100.42,937.34,163.08,3775,Delivered
O00170,11/7/2021 0:00,C0539,P130,E004,B12,PAY00170,D00170,5,1318.58,0.18,5406.18,4703.04,703.14,1150,Delivered
O00171,1/12/2021 0:00,C0050,P295,E052,B01,PAY00171,D00171,3,1389.91,0.08,3836.15,2386.16,1449.99,4026,Pending
O00172,10/1/2022 0:00,C0291,P071,E030,B01,PAY00172,D00172,1,1301.04,0.17,1079.86,937.99,141.87,4982,Cancelled
O00173,9/28/2020 0:00,C1140,P158,E131,B06,PAY00173,D00173,4,942.25,0.17,3128.27,2320.53,807.74,2785,Delivered
O00174,12/10/2025 0:00,C0455,P077,E065,B06,PAY00174,D00174,3,837.87,0.1,2262.25,1737.51,524.74,2514,Delivered
O00175,7/5/2023 0:00,C0130,P222,E036,B15,PAY00175,D00175,1,956.88,0.06,899.47,599.04,300.43,3585,Delivered
O00176,11/16/2023 0:00,C1062,P047,E040,B03,PAY00176,D00176,3,1359.19,0.18,3343.61,2696.37,647.24,1211,Cancelled
O00177,8/18/2022 0:00,C0311,P290,E124,B12,PAY00177,D00177,5,1020.84,0.15,4338.57,3401.96,936.61,2444,Cancelled
O00178,5/31/2024 0:00,C0850,P048,E003,B10,PAY00178,D00178,3,44.63,0.01,132.55,106.99,25.56,3654,Cancelled
O00179,3/30/2025 0:00,C0163,P087,E108,B08,PAY00179,D00179,5,558.13,0.12,2455.77,1714.1,741.67,2211,Delivered
O00180,1/17/2020 0:00,C0617,P058,E068,B10,PAY00180,D00180,5,117.77,0.05,559.41,386.42,172.99,2804,Pending
O00181,5/28/2021 0:00,C0144,P283,E019,B06,PAY00181,D00181,3,664.38,0.17,1654.31,1156.57,497.74,1492,Cancelled
O00182,8/18/2021 0:00,C0602,P233,E111,B14,PAY00182,D00182,2,377.57,0.05,717.38,612.78,104.6,2042,Cancelled
O00183,10/18/2021 0:00,C0518,P096,E107,B08,PAY00183,D00183,3,35.31,0.09,96.4,62.64,33.76,763,Cancelled
O00184,10/1/2020 0:00,C1191,P142,E097,B15,PAY00184,D00184,3,761.06,0.01,2260.35,1803.85,456.5,2725,Cancelled
O00185,7/3/2023 0:00,C0075,P220,E055,B04,PAY00185,D00185,4,247.21,0.04,949.29,815.07,134.22,3294,Pending
O00186,7/11/2024 0:00,C0115,P145,E027,B06,PAY00186,D00186,5,1200.88,0.2,4803.52,3529.86,1273.66,1752,Cancelled
O00187,7/15/2021 0:00,C0122,P060,E018,B08,PAY00187,D00187,4,483.44,0.04,1856.41,1491,365.41,3276,Pending
O00188,11/18/2023 0:00,C0361,P072,E022,B14,PAY00188,D00188,1,870.97,0.07,810,521.6,288.4,2553,Delivered
O00189,9/25/2025 0:00,C0791,P127,E015,B13,PAY00189,D00189,2,559.55,0.06,1051.95,633.87,418.08,3384,Delivered
O00190,10/7/2022 0:00,C1140,P082,E109,B07,PAY00190,D00190,5,77.19,0.15,328.06,241.38,86.68,1600,Cancelled
O00191,5/29/2020 0:00,C0682,P006,E069,B08,PAY00191,D00191,1,1184.77,0.04,1137.38,703.67,433.71,1072,Cancelled
O00192,11/8/2024 0:00,C0392,P247,E124,B02,PAY00192,D00192,5,790.07,0,3950.35,2818.18,1132.17,1090,Pending
O00193,5/19/2021 0:00,C0901,P045,E018,B07,PAY00193,D00193,5,1377.73,0.1,6199.78,4624.97,1574.81,4100,Pending
O00194,9/14/2020 0:00,C0100,P267,E143,B02,PAY00194,D00194,4,216.85,0.2,693.92,490.76,203.16,613,Cancelled
O00195,12/4/2025 0:00,C0151,P159,E147,B04,PAY00195,D00195,5,734.68,0.05,3489.73,2865.79,623.94,3440,Delivered
O00196,8/21/2024 0:00,C0279,P294,E080,B14,PAY00196,D00196,3,1211.53,0.17,3016.71,2091.77,924.94,4617,Pending
O00197,12/17/2025 0:00,C0202,P136,E114,B02,PAY00197,D00197,3,729.17,0.11,1946.88,1398.26,548.62,2582,Cancelled
O00198,6/16/2023 0:00,C0679,P084,E088,B02,PAY00198,D00198,4,983.17,0.05,3736.05,2474.81,1261.24,974,Delivered
